subj_idx,condition,congruency,response,rt
5,enhanced,incongruent,1,0.46
5,enhanced,congruent,1,0.469
5,enhanced,incongruent,0,0.427
5,enhanced,congruent,1,0.501
5,enhanced,incongruent,1,0.5500000000000582
5,enhanced,congruent,1,0.467
5,enhanced,incongruent,1,0.582
5,enhanced,congruent,1,0.546
5,enhanced,incongruent,1,0.61
5,enhanced,incongruent,1,0.513
5,enhanced,congruent,1,0.723
5,enhanced,incongruent,1,0.717
5,enhanced,congruent,1,0.513
5,enhanced,incongruent,1,0.613
5,enhanced,congruent,1,0.499
5,enhanced,incongruent,1,0.615
5,enhanced,incongruent,1,0.607
5,enhanced,incongruent,1,0.566
5,enhanced,congruent,1,0.474
5,enhanced,congruent,1,0.519
5,enhanced,incongruent,1,0.5009999999999418
5,enhanced,congruent,1,0.5200000000000582
5,enhanced,incongruent,1,0.599
5,enhanced,congruent,1,0.503
5,enhanced,congruent,1,0.418
5,enhanced,incongruent,1,0.5180000000000582
5,enhanced,congruent,1,0.438
5,enhanced,incongruent,1,0.628
5,enhanced,congruent,1,0.474
5,enhanced,congruent,1,0.546
5,enhanced,incongruent,1,0.485
5,enhanced,congruent,1,0.436
